Manufacturer,MFR Part #,Product Description,Retail / MSRP, Dealer Actual Cost ,Dealers Discount from list,Proposed GSA Price ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Mobile Pro,MPS-030,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC AFPOE 17W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, Optex 120DEG Wide X 40', LED Strobe Kit Light Kit, 150 Solar System PS Kit","$13,243.28 ","$8,828.85 ",33%,"$10,766.89 ",19%,"$10,848.25 ",USA,1 Year
Mobile Pro,MPS-031,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC AFPOE 17W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, Optex 120DEG Wide X 40', LED Strobe Kit Light Kit, 2 High Intensity LED Bar w/ Electronics, 150 Solar System PS Kit","$14,244.53 ","$9,496.35 ",33%,"$11,580.91 ",19%,"$11,668.43 ",USA,1 Year
Mobile Pro,MPS-032,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Battery, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC AFPOE 17W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, Optex 120DEG Wide X 40', LED Strobe Kit Light Kit, 2 IR LED Bar w/ Electronics, 150 Solar System PS Kit","$16,100.78 ","$10,733.85 ",33%,"$13,090.06 ",19%,"$13,188.98 ",USA,1 Year
Mobile Pro,Camera,"PTZ Camera 2.0 MP 1080P 30X Zoom, Update Cables and Terminations, Update Servers to Current Version","$8,988.00 ","$5,992.00 ",33%,"$7,307.32 ",19%,"$7,362.54 ",USA,1 Year
Mobile Pro,BATT-KIT-100-12,1200 AH AGM BATT PACK,"$5,531.40 ","$3,687.60 ",33%,"$4,497.07 ",19%,"$4,531.06 ",USA,1 Year
Mobile Pro,INSULATE-KIT,ALL Weather Insulation Package,"$3,364.20 ","$2,242.80 ",33%,"$2,735.12 ",19%,"$2,755.79 ",USA,1 Year
Mobile Pro,PTZ-P5512-E,Axis PTZ Camera 480i 12x + Mount and Hub Assy,"$2,581.88 ","$1,721.25 ",33%,"$2,099.09 ",19%,"$2,114.95 ",USA,1 Year
Mobile Pro,PTZ-P5532-E,Axis PTZ Camera D1 576p 29x + Mount and Hub Assy,"$3,594.38 ","$2,396.25 ",33%,"$2,922.26 ",19%,"$2,944.34 ",USA,1 Year
Mobile Pro,PTZ-P5534-E,Axis PTZ Camera 1.3 MP 720P + Mount and Hub Assy,"$3,885.00 ","$2,590.00 ",33%,"$3,158.54 ",19%,"$3,182.40 ",USA,1 Year
Mobile Pro,PTZ-P5635-E,Axis PTZ Camera 2.0 MP 1080P 30X Zoom + Mount and Hub Assy,"$3,303.75 ","$2,202.50 ",33%,"$2,685.98 ",19%,"$2,706.27 ",USA,1 Year
