Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealers Discount from list, Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List, Proposed GSA Price (with IFF of .75%) ,Country of Origin,Warranty
LRG TECH,MPS-FC-Q3505-VE ,"MOBILE PRO SYSTEMS ACCY, Dome Camera 2.0 MP 1080p Lighfinder + Mount and Hub Assy","$2,075.63 ","$1,383.75 ",33%,"$1,659.77 ",21%,"$1,647.32 ",USA,1 Year
LRG TECH,MPS-PTZ-FLIR-PT625,"MOBILE PRO SYSTEMS ACCY, FLIR - DUALHEAD LONG RANGE PTZ THERMAL + Mount and Hub Assy","$34,138.13 ","$22,758.75 ",33%,"$27,298.49 ",21%,"$27,093.75 ",USA,1 Year
LRG TECH,MPS-PTZ-GD-ZNT6-PAT1FN20-N,"MOBILE PRO SYSTEMS ACCY, GD - PT THERMAL CAMERA - 320X240 - 40ø + Mount and Hub Assy","$5,439.38 ","$3,626.25 ",33%,"$4,349.59 ",21%,"$4,316.96 ",USA,1 Year
LRG TECH,MPS-PTZ-GD-ZNT6-PAT2FN21-N,"MOBILE PRO SYSTEMS ACCY, GD - PT THERMAL CAMERA - 640X480 - 44ø + Mount and Hub Assy","$9,395.63 ","$6,263.75 ",33%,"$7,513.19 ",21%,"$7,456.85 ",USA,1 Year
LRG TECH,MPS-FC-GD-ZNT6-HAT1FN20-N,"MOBILE PRO SYSTEMS ACCY, GD - FIXED THERMAL CAMERA - 320X240 - 40ø + Mount and Hub Assy","$3,620.63 ","$2,413.75 ",33%,"$2,895.23 ",21%,"$2,873.51 ",USA,1 Year
LRG TECH,MPS-FC-GD-ZNT6-HAT2FN21-N,"MOBILE PRO SYSTEMS ACCY, GD - FIXED THERMAL CAMERA - 640X480 - 44ø + Mount and Hub Assy","$7,426.88 ","$4,951.25 ",33%,"$5,938.89 ",21%,"$5,894.35 ",USA,1 Year
LRG TECH,MPS-PTZ-HV-2DF8223I-AEL,"MOBILE PRO SYSTEMS ACCY, HV 2MP 23X PTZ W/200M IR + Mount and Hub Assy","$3,414.38 ","$2,276.25 ",33%,"$2,730.30 ",21%,"$2,709.82 ",USA,1 Year
LRG TECH,MPS-PTZ-SMS-SNP-6320H,"MOBILE PRO SYSTEMS ACCY, SS 2MP 32x Zoom PTZ Dome + Mount and Hub Assy","$5,026.88 ","$3,351.25 ",33%,"$4,019.73 ",21%,"$3,989.58 ",USA,1 Year
LRG TECH,MPS-POE-35W-K,"MOBILE PRO SYSTEMS ACCY, 12VDC HIPOE 35W, KIT",$272.25 ,$181.50 ,33%,$217.70 ,21%,$216.07 ,USA,1 Year
LRG TECH,MPS-POE-17W-K,"MOBILE PRO SYSTEMS ACCY, 12VDC AFPOE 17W, KIT",$189.00 ,$126.00 ,33%,$151.13 ,21%,$150.00 ,USA,1 Year
