Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealer's Discount (% from list),Proposed GSA Price (w/o IFF fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
ORTRONICS,P1SA4ZRGKZZ001M,"PIGTAIL,6FBR,S-LC(PC),1M",$185.64 ,$92.82 ,50%,$114.05 ,39%,$113.20 ,USA,1 Year
ORTRONICS,P1SA4ZRGKZZ002M,"PIGTAIL,6FBR,S-LC(PC),2M",$196.56 ,$98.28 ,50%,$120.76 ,39%,$119.85 ,USA,1 Year
ORTRONICS,P1SA4ZRGLZZ001M,"PIGTAIL,6FBR,S-LC(PC),1M",$185.64 ,$92.82 ,50%,$114.05 ,39%,$113.20 ,USA,1 Year
ORTRONICS,P1SA4ZRGLZZ002M,"PIGTAIL,6FBR,S-LC(PC),2M",$196.56 ,$98.28 ,50%,$120.76 ,39%,$119.85 ,USA,1 Year
ORTRONICS,P1SF4ZRGAZZ001M,"PIGTAIL,6FBR,S-LC(PC),1M",$196.56 ,$98.28 ,50%,$120.76 ,39%,$119.85 ,USA,1 Year
ORTRONICS,P1SF4ZRGAZZ002M,"PIGTAIL,6FBR,S-LC(PC),2M",$207.48 ,$103.74 ,50%,$127.47 ,39%,$126.51 ,USA,1 Year
ORTRONICS,P1SF4ZRGBZZ001M,"PIGTAIL,6FBR,S-LC(PC),1M",$196.56 ,$98.28 ,50%,$120.76 ,39%,$119.85 ,USA,1 Year
ORTRONICS,P1SF4ZRGBZZ002M,"PIGTAIL,6FBR,S-LC(PC),2M",$207.48 ,$103.74 ,50%,$127.47 ,39%,$126.51 ,USA,1 Year
ORTRONICS,P1SF4ZRGCZZ001M,"PIGTAIL,6FBR,S-LC(PC),1M",$196.56 ,$98.28 ,50%,$120.76 ,39%,$119.85 ,USA,1 Year
ORTRONICS,P1SF4ZRGCZZ002M,"PIGTAIL,6FBR,S-LC(PC),2M",$207.48 ,$103.74 ,50%,$127.47 ,39%,$126.51 ,USA,1 Year
ORTRONICS,P1SF4ZRGDZZ001M,"PIGTAIL,6FBR,S-LC(PC),1M",$196.56 ,$98.28 ,50%,$120.76 ,39%,$119.85 ,USA,1 Year
